
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"19103","Johnson, IA",4504196,4772235,4996924,5347108,5615092,6026616,6228498,6658164,6795305,7018427,7420853,7705544,8209898,8583822,8694194,8915536,9440529,9735949,9957478,9915738
"19105","Jones, IA",370362,388361,407420,440284,441027,465243,493886,476102,469371,486700,563151,583509,638553,607692,644712,624386,636981,644818,655313,687625
"19107","Keokuk, IA",177436,194038,205370,233419,207652,211517,224073,242757,256251,237822,296584,326457,349825,332068,324199,357953,333826,344784,360731,341537
"19109","Kossuth, IA",403121,439227,491153,578619,596898,614117,689104,675312,668216,728827,829141,933386,1053631,1073595,978160,949689,923374,959276,941679,887251
"19111","Lee, IA",1209671,1247232,1314390,1345500,1329652,1313744,1346664,1469346,1522085,1569714,1599516,1640758,1715178,1810381,2000642,1911761,1773678,1796025,1855232,1844592
"19113","Linn, IA",8458914,8410202,9200671,10206560,10935866,11174620,12410675,12277899,12817047,13533673,13916158,14296953,14203932,15135134,15955837,16526764,16414746,17166882,16909282,16858362
"19115","Louisa, IA",420918,410216,426912,415597,381446,434979,472657,527593,569892,553802,516528,592107,602173,624244,614710,639795,636238,698702,774958,738846
"19117","Lucas, IA",173439,184271,195018,218757,236637,235755,232783,247125,237926,238475,254075,264945,281704,275779,293656,298230,308229,321179,331790,334376
"19119","Lyon, IA",292465,288812,319318,385606,380265,423726,391211,459405,394472,518414,636810,705207,756611,865976,779289,828787,982713,931660,916150,769078
"19121","Madison, IA",208977,224798,244847,285362,291209,307384,345591,345641,333477,326540,359101,357433,361868,360255,384450,410748,432110,429573,447103,450695
"19123","Mahaska, IA",441900,447905,487843,578016,582891,636368,667887,711190,674801,644214,722270,786867,796013,766164,791850,808235,867828,970159,946135,899618
